comment,CountM,CountA,userid,CountD,datetime,user
Added handling for R2G,10,0,r1525171 ,0, 2015-09-29 14:08:40, Jimmy 
,,,,,,
Added settings as a main activity to launch,1,0,r1525124 ,0, 2015-09-29 12:49:38, Jimmy 
,,,,,,
Lint fix,2,0,r1525067 ,0, 2015-09-29 11:55:33, Jimmy 
,,,,,,
Added custom permission to receiver,1,0,r1525056 ,0, 2015-09-29 11:50:00, Jimmy 
,,,,,,
Lint fix,1,0,r1525043 ,0, 2015-09-29 11:36:56, Jimmy 
,,,,,,
Added r2g permission,1,0,r1525032 ,0, 2015-09-29 11:31:00, Jimmy 
,,,,,,
Added R2G config,12,1,r1525020 ,1, 2015-09-29 11:22:15, Jimmy 
,,,,,,
Modified broadcast receiver for R2G,5,1,r1524333 ,0, 2015-09-28 11:47:57, Jimmy 
,,,,,,
PHONE-1163: Phone 2.0 - Music player in lock screen view has a cut off.,4,0,r1523786 ,0, 2015-09-25 14:35:53, Thomas 
,,,,,,
Initial addition for R2G classes,0,3,r1523768 ,0, 2015-09-25 14:15:11, Jimmy 
,,,,,,
CR023: Phone globe for the mobile client splash screen,1,13,r1523643 ,0, 2015-09-25 11:35:42, Jimmy 
,,,,,,
Fixed libpng warning: iCCP: Not recognizing known sRGB profile that has been edited,7,0,r1521833 ,0, 2015-09-22 14:23:03, Thomas 
,,,,,,
Auth failure error codes,0,1,r1520473 ,0, 2015-09-18 14:08:32, Jimmy 
,,,,,,
PHONE-1388: Att Locker - AMZ Fire - Share by Me - Manage Share: Crashes Locker,1,0,r1520031 ,0, 2015-09-17 15:02:43, Thomas 
,,,,,,
Removed &amp;#160;,1,0,r1519600 ,0, 2015-09-16 15:05:40, Thomas 
,,,,,,
PHONE-1391: Phone 2.0 - unexpected notification while downloading on low battery.,6,0,r1519555 ,0, 2015-09-16 14:19:18, Thomas 
,,,,,,
PHONE-1318,1,0,r1519330 ,0, 2015-09-16 08:42:42, Jimmy 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1517160 ,0, 2015-09-10 17:34:36, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
PHONE-1318,1,0,r1516858 ,0, 2015-09-10 11:03:36, Jimmy 
,,,,,,
Seperated strings for shares from main strings files,2,2,r1516801 ,0, 2015-09-10 09:49:48, Jimmy 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1516395 ,0, 2015-09-09 15:10:46, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
Remove report abusive content,1,0,r1516364 ,0, 2015-09-09 14:45:52, Jimmy 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1516286 ,0, 2015-09-09 13:23:06, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
Added extra check if we have that size or not.,1,0,r1516221 ,0, 2015-09-09 11:37:11, Thomas 
,,,,,,
PHONE-1316: ATT Android || Available offline icon is hardly visible in documents screen,6,0,r1516206 ,0, 2015-09-09 11:18:13, Thomas 
,,,,,,
PHONE-1125: ATT Android || Available offline is displaying only when we select min 2 files. That to this feature is integrated only in docs and no where else,9,0,r1516182 ,0, 2015-09-09 10:57:24, Thomas 
,,,,,,
Added back empty sliding_menu_header,1,0,r1516140 ,0, 2015-09-09 09:54:23, Thomas 
,,,,,,
String updates,1,0,r1516124 ,0, 2015-09-09 09:35:37, Jimmy 
,,,,,,
String updates,1,0,r1516078 ,0, 2015-09-09 08:36:04, Jimmy 
,,,,,,
Update icons,12,0,r1515856 ,0, 2015-09-08 16:52:10, Thomas 
,,,,,,
PHONE-1259: Phone Customer Reported Issue - App Icon is square rather than rounded corners,12,0,r1515669 ,0, 2015-09-08 13:00:44, Thomas 
,,,,,,
Increased swipe time to 5 sec,1,0,r1515598 ,0, 2015-09-08 11:12:36, Thomas 
,,,,,,
PHONE-1277: Phone Locker - Header Cut Off in Android Galaxy Tablet,1,0,r1515597 ,0, 2015-09-08 11:09:10, Thomas 
,,,,,,
PHONE-1275: Android Galaxy Tablet - Image Carousel,1,0,r1515550 ,0, 2015-09-08 09:46:51, Thomas 
,,,,,,
Cancel only the target operation instead of canceling all operations.,1,0,r1515469 ,0, 2015-09-07 18:02:26, Freddie 
,,,,,,
fix the way the Cloud SDK is integrated for the upload. Reported from trunk.,2,0,r1515192 ,0, 2015-09-07 08:40:42, Freddie 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1514885 ,0, 2015-09-04 15:28:55, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
Fixed lint issue,1,0,r1514854 ,0, 2015-09-04 14:45:09, Thomas 
,,,,,,
PHONE-1246: CR018 Carousel,18,5,r1514848 ,1, 2015-09-04 14:35:07, Thomas 
,,,,,,
PHONE-1116: Phone 2.0 - Push notification icon Intermittently appear - Nexus 5.,10,5,r1514769 ,0, 2015-09-04 12:36:03, Thomas 
,,,,,,
PHONE-1152: Phone 2.0 - Pop up message is displayed as creating music album when we are trying to creating photo album,1,0,r1514659 ,0, 2015-09-04 10:33:11, Thomas 
,,,,,,
PHONE-1158: ATT Android || Inconsistence of 'Remove from Playlist' from contextual menu to title,1,0,r1514632 ,0, 2015-09-04 09:24:09, Thomas 
,,,,,,
